pitches_out_of_zone,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
1,663978,"Paddack, Chris",2565,0,,,,,,,,,,,,2090,78.6,79.1,0,1,0,0.5,6.8,88,151,118,149,318,334,288,0.035,-0.035,79.7,8.4,,,,,,,,,,,5.01,-1.3,-0.61,-0.61,88.0,2,,,,5.9,-2.1,-0.74,1.2,,,-3.5,,,3.5,,,,,0,48.7,18.638517528310118,-6.664417597512755,39.08549183881935,1,36.15300008589936,38.459661599177366
1,690953,"Abel, Mick",720,0.1,,,,,,,,,,,,1514,87.3,88.9,0,0,1,1.6000000000000085,6.9,125,146,127,154,299,326,295,-0.041,0.041,,,,,,,,,,,,,2.4,0.55,0.53,-0.53,,,,,,5.6,-1.73,-1.69,4.15,,,4.1,,,-4.1,,,,,,30.1,,,,,,
1,701519,"Adams, Travis",663,0.2,,,,,,,,,,,,2579,92.4,93.1,0,0,1,0.6999999999999886,6.3,128,144,101,153,292,329,293,-0.037,0.037,,,,,,,,,,,,,1.82,0.81,-0.36,0.36,,,,,,5.87,-1.57,-0.99,2.75,,,3.7,,,-3.7,,,,,,35.9,,,,,,
1,656849,"Peterson, David",2699,0,,,,,,,,,,,,2280,75.3,76.1,0,0,1,0.7999999999999972,6.8,113,153,126,150,300,332,281,-0.041,0.041,,,,,,,,,,,,,4.67,-0.66,-0.64,0.64,,,,,,6.29,2.25,2.69,4.41,,,4.1,,,-4.1,,,,,,44.4,,,,,,
1,573204,"Thielbar, Caleb",839,0.1,,,,,,,,,,,,2642,81.9,81.9,0,0,1,0,6.3,127,150,125,154,286,318,300,-0.041,0.041,,,,,,,,,,,,,3.28,0.12,-1.23,-1.23,,,,,,5.97,0.45,-1.01,1.79,,,4.1,,,-4.1,,,,,,49.1,,,,,,
1,607067,"Rea, Colin",2534,0,,,,,,,,,,,,2078,87.4,87.8,0,0,1,0.3999999999999915,6.6,114,154,124,148,287,321,293,-0.041,0.041,,,,,,,,,,,,,2.22,0.77,-0.18,-0.18,,,,,,5.69,-1.67,0.99,3.64,,,4.1,,,-4.1,,,,,,35.4,,,,,,
1,680885,"Schwellenbach, Spencer",1573,0.1,,,,,,,,,,,,2277,96.1,96.5,0,1,0,0.4000000000000057,7,111,152,129,149,311,323,296,0.039,-0.039,75.2,7.5,,,,,,,,,,,1.85,0.65,1.45,1.45,88.0,4,,,,5.11,-2.18,-1.28,2.33,,,-3.9,,,3.9,,,,,0,34.0,21.97843200630096,-24.418239628423272,28.829329181073426,0,21.51532531533076,40.300815042174435
1,681190,"Vásquez, Randy",2148,0,,,,,,,,,,,,2606,96.5,95.9,0,0,1,-0.5999999999999943,6,123,146,142,153,295,317,304,-0.041,0.041,,,,,,,,,,,,,1.11,1.35,1.01,-1.01,,,,,,5.91,-2.17,0.1,3.76,,,4.1,,,-4.1,,,,,,31.9,,,,,,
1,694297,"Pfaadt, Brandon",2921,0,,,,,,,,,,,,2553,79.5,79.3,0,0,1,-0.20000000000000284,6.2,128,149,92,154,278,327,297,-0.039,0.039,,,,,,,,,,,,,4.55,-0.93,-1.03,1.03,,,,,,5.56,-2.53,-1.24,3.08,,,3.9,,,-3.9,,,,,,26.9,,,,,,
1,650644,"Civale, Aaron",1747,0.1,,,,,,,,,,,,2393,92.5,91,0,0,1,-1.5,5.5,127,150,128,154,293,323,302,-0.037,0.037,,,,,,,,,,,,,1.27,1.41,0.72,-0.72,,,,,,6.41,-0.88,-1.35,3.45,,,3.7,,,-3.7,,,,,,46.3,,,,,,
1,693855,"Seymour, Ian",996,0.1,,,,,,,,,,,,2234,89.6,89,0,1,0,-0.5999999999999943,5.8,87,145,97,150,286,320,290,0.042,-0.042,70.4,6.6,,,,,,,,,,,1.38,1.45,0.81,0.81,88.0,96,,,,5.8,1.81,0.58,3.69,,,-4.2,,,4.2,,,,,0,40.1,10.155022237777096,-3.434012942672146,23.640767386333884,1,32.4174284299817,22.511345659791775
1,808967,"Yamamoto, Yoshinobu",2790,0,,,,,,,,,,,,2752,89,88.9,1,1,0,-0.09999999999999432,6.3,115,154,127,148,303,316,292,0.039,-0.039,76.0,8.1,,,,,,,,,,,3.05,-0.16,-0.54,-0.54,,,,,,5.49,-1.82,0.31,1.49,,,-3.9,,,3.9,,,,,100,43.9,14.578419983227187,-19.654238127928902,30.706740507411237,1,38.8866186964213,46.766611548916615
